verifiers,zk_proof_verification,storage_append,ec_operations,mapping_lookup,control_logic,total_gas,total_gas_millions_label
50,9884465,2261294,316913,2287807,18064,14768543,14.8M
60,11861008,2709051,380083,2740731,21509,17712382,17.7M
70,13837552,3156813,443253,3193665,24958,20656241,20.7M
80,15814095,3604579,506423,3646607,28410,23600114,23.6M
90,17790640,4052355,569593,4099570,31865,26544023,26.5M
100,19767185,4500133,632763,4552535,35324,29487940,29.5M
110,21743730,4947915,695933,5005509,38629,32431716,32.4M
120,23720275,5395702,759103,5458494,42253,35375827,35.4M
130,25696821,5843499,822273,5911498,45801,38319892,38.3M
140,27673367,6291297,885443,6364504,49116,41263727,41.3M
150,29649914,6739099,948613,6817518,52514,44207658,44.2M
160,31626461,7186907,1011783,7270544,55994,47151689,47.2M
170,33603009,7634725,1074953,7723590,59636,50095913,50.1M
180,35579556,8082543,1138123,8176636,63123,53039981,53.0M
190,37556105,8530365,1201293,8629691,66534,55983988,56.0M
200,39532653,8978193,1264463,9082757,70186,58928252,58.9M
