budget_C,multiplicative_rounds,linear_rounds,logarithmic_rounds,source
10.00000000,6,4,6,paper_fig5_formula_generalized_inverse
10.29293393,6,4,6,paper_fig5_formula_generalized_inverse
10.59444888,6,4,6,paper_fig5_formula_generalized_inverse
10.90479624,6,4,7,paper_fig5_formula_generalized_inverse
11.22423471,6,4,7,paper_fig5_formula_generalized_inverse
11.55303063,6,4,7,paper_fig5_formula_generalized_inverse
11.89145809,6,4,7,paper_fig5_formula_generalized_inverse
12.23979925,6,4,7,paper_fig5_formula_generalized_inverse
12.59834449,6,4,7,paper_fig5_formula_generalized_inverse
12.96739275,7,4,8,paper_fig5_formula_generalized_inverse
13.34725167,7,4,8,paper_fig5_formula_generalized_inverse
13.73823796,7,4,8,paper_fig5_formula_generalized_inverse
14.14067756,7,4,8,paper_fig5_formula_generalized_inverse
14.55490598,7,4,8,paper_fig5_formula_generalized_inverse
14.98126856,7,4,8,paper_fig5_formula_generalized_inverse
15.42012074,7,5,9,paper_fig5_formula_generalized_inverse
15.87182839,7,5,9,paper_fig5_formula_generalized_inverse
16.33676810,7,5,9,paper_fig5_formula_generalized_inverse
16.81532746,8,5,9,paper_fig5_formula_generalized_inverse
17.30790545,8,5,9,paper_fig5_formula_generalized_inverse
17.81491272,8,5,10,paper_fig5_formula_generalized_inverse
18.33677196,8,5,10,paper_fig5_formula_generalized_inverse
18.87391822,8,5,10,paper_fig5_formula_generalized_inverse
19.42679932,8,5,10,paper_fig5_formula_generalized_inverse
19.99587618,8,5,11,paper_fig5_formula_generalized_inverse
20.58162324,8,5,11,paper_fig5_formula_generalized_inverse
21.18452881,9,6,11,paper_fig5_formula_generalized_inverse
21.80509553,9,6,11,paper_fig5_formula_generalized_inverse
22.44384076,9,6,11,paper_fig5_formula_generalized_inverse
23.10129700,9,6,12,paper_fig5_formula_generalized_inverse
23.77801237,9,6,12,paper_fig5_formula_generalized_inverse
24.47455102,9,6,12,paper_fig5_formula_generalized_inverse
25.19149366,9,6,13,paper_fig5_formula_generalized_inverse
25.92943797,9,6,13,paper_fig5_formula_generalized_inverse
26.68899918,10,6,13,paper_fig5_formula_generalized_inverse
27.47081052,10,6,13,paper_fig5_formula_generalized_inverse
28.27552376,10,7,14,paper_fig5_formula_generalized_inverse
29.10380978,10,7,14,paper_fig5_formula_generalized_inverse
29.95635911,10,7,14,paper_fig5_formula_generalized_inverse
30.83388251,10,7,15,paper_fig5_formula_generalized_inverse
31.73711154,10,7,15,paper_fig5_formula_generalized_inverse
32.66679921,11,7,15,paper_fig5_formula_generalized_inverse
33.62372059,11,7,16,paper_fig5_formula_generalized_inverse
34.60867344,11,7,16,paper_fig5_formula_generalized_inverse
35.62247890,11,7,16,paper_fig5_formula_generalized_inverse
36.66598217,11,8,17,paper_fig5_formula_generalized_inverse
37.74005318,11,8,17,paper_fig5_formula_generalized_inverse
38.84558738,11,8,17,paper_fig5_formula_generalized_inverse
39.98350643,12,8,18,paper_fig5_formula_generalized_inverse
41.15475899,12,8,18,paper_fig5_formula_generalized_inverse
42.36032151,12,8,19,paper_fig5_formula_generalized_inverse
43.60119904,12,8,19,paper_fig5_formula_generalized_inverse
44.87842609,12,8,19,paper_fig5_formula_generalized_inverse
46.19306745,12,9,20,paper_fig5_formula_generalized_inverse
47.54621911,12,9,20,paper_fig5_formula_generalized_inverse
48.93900918,13,9,21,paper_fig5_formula_generalized_inverse
